dimension_a,dimension_b,freq_a,freq_b,n11,n10,n01,n00,exp_11,exp_10,exp_01,exp_00,min_expected,chi2,chi2_p,fisher_p,fisher_p_holm,fisher_p_bh,phi
Causal Traceability,Temporal Traceability,2,3,2,0,1,48,0.117647,1.882353,2.882353,46.117647,0.117647,33.306122,0.000000,0.002353,0.444706,0.168649,0.808122
Provenance,Trustworthiness,4,8,4,0,4,43,0.627451,3.372549,7.372549,39.627451,0.627451,23.329787,0.000001,0.000280,0.053221,0.053221,0.676348
Data Currency,Data Update Currency,3,1,1,2,0,48,0.058824,2.941176,0.941176,47.058824,0.058824,16.320000,0.000053,0.058824,1.000000,0.676223,0.565685
External Accuracy,External Completeness,8,15,6,2,9,34,2.352941,5.647059,12.647059,30.352941,2.352941,9.498256,0.002057,0.005326,0.985265,0.168649,0.431556
Logical Consistency,Time Concurrency,6,3,2,4,1,44,0.352941,5.647059,2.647059,42.352941,0.352941,9.255556,0.002348,0.033373,1.000000,0.671786,0.426006
Compliance,Trustworthiness,25,8,0,25,8,18,3.921569,21.078431,4.078431,21.921569,3.921569,9.123435,0.002524,0.004152,0.780579,0.168649,-0.422955
External Completeness,Internal Completeness,15,21,11,4,10,26,6.176471,8.823529,14.823529,21.176471,6.176471,9.072063,0.002595,0.004441,0.830449,0.168649,0.421762
Appropriateness,Compliance,24,25,17,7,8,19,11.764706,12.235294,13.235294,13.764706,11.764706,8.631859,0.003303,0.005006,0.931090,0.168649,0.411403
Availability,External Completeness,3,15,3,0,12,36,0.882353,2.117647,14.117647,33.882353,0.882353,7.650000,0.005677,0.021849,1.000000,0.567862,0.387298
Causal Traceability,Time Concurrency,2,3,1,1,2,47,0.117647,1.882353,2.882353,46.117647,0.117647,7.318240,0.006826,0.115294,1.000000,1.000000,0.378807
Availability,External Accuracy,3,8,2,1,6,42,0.470588,2.529412,7.529412,40.470588,0.470588,6.263808,0.012323,0.060504,1.000000,0.676223,0.350457
Appropriateness,Logical Consistency,24,6,0,24,6,21,2.823529,21.176471,3.176471,23.823529,2.823529,6.044444,0.013950,0.023910,1.000000,0.567862,-0.344265
Causal Traceability,Provenance,2,4,1,1,3,46,0.156863,1.843137,3.843137,45.156863,0.156863,5.118270,0.023675,0.152157,1.000000,1.000000,0.316794
Coherence,Semantic Accuracy,12,18,1,11,17,22,4.235294,7.764706,13.764706,25.235294,4.235294,4.994658,0.025426,0.037281,1.000000,0.671786,-0.312945
Appropriateness,Coherence,24,12,9,15,3,24,5.647059,18.352941,6.352941,20.647059,5.647059,4.917468,0.026586,0.045616,1.000000,0.671786,0.310517
Appropriateness,Syntactic Accuracy,24,12,9,15,3,24,5.647059,18.352941,6.352941,20.647059,5.647059,4.917468,0.026586,0.045616,1.000000,0.671786,0.310517
Appropriateness,Trustworthiness,24,8,1,23,7,20,3.764706,20.235294,4.235294,22.764706,3.764706,4.548571,0.032946,0.052787,1.000000,0.671786,-0.298643
External Completeness,Semantic Accuracy,15,18,2,13,16,20,5.294118,9.705882,12.705882,23.294118,5.294118,4.487542,0.034143,0.053036,1.000000,0.671786,-0.296633
Data Currency,Time Concurrency,3,3,1,2,2,46,0.176471,2.823529,2.823529,45.176471,0.176471,4.338542,0.037259,0.169460,1.000000,1.000000,0.291667
Temporal Traceability,Time Concurrency,3,3,1,2,2,46,0.176471,2.823529,2.823529,45.176471,0.176471,4.338542,0.037259,0.169460,1.000000,1.000000,0.291667
Coherence,Compliance,12,25,9,3,16,23,5.882353,6.117647,19.117647,19.882353,5.882353,4.238432,0.039519,0.052229,1.000000,0.671786,0.288282
Compliance,Provenance,25,4,0,25,4,22,1.960784,23.039216,2.039216,23.960784,1.960784,4.173486,0.041061,0.110444,1.000000,1.000000,-0.286065
Syntactic Accuracy,Versatility,12,5,3,9,2,37,1.176471,10.823529,3.823529,35.176471,1.176471,4.097910,0.042936,0.077953,1.000000,0.822840,0.283463
Coherence,Internal Completeness,12,21,2,10,19,20,4.941176,7.058824,16.058824,22.941176,4.941176,3.891941,0.048518,0.091194,1.000000,0.911944,-0.276247
Compliance,Temporal Traceability,25,3,0,25,3,23,1.470588,23.529412,1.529412,24.470588,1.470588,3.064904,0.080000,0.235294,1.000000,1.000000,-0.245145
Causal Traceability,Internal Completeness,2,21,2,0,19,30,0.823529,1.176471,20.176471,28.823529,0.823529,2.973761,0.084625,0.164706,1.000000,1.000000,0.241473
Causal Traceability,Logical Consistency,2,6,1,1,5,44,0.235294,1.764706,5.764706,43.235294,0.235294,2.931633,0.086860,0.223529,1.000000,1.000000,0.239756
Logical Consistency,Semantic Accuracy,6,18,4,2,14,31,2.117647,3.882353,15.882353,29.117647,2.117647,2.930640,0.086913,0.167943,1.000000,1.000000,0.239716
Syntactic Accuracy,Trustworthiness,12,8,0,12,8,31,1.882353,10.117647,6.117647,32.882353,1.882353,2.919499,0.087515,0.173050,1.000000,1.000000,-0.239259
Availability,Compactness,3,4,1,2,3,45,0.235294,2.764706,3.764706,44.235294,0.235294,2.865359,0.090506,0.221369,1.000000,1.000000,0.237031
Compactness,Data Currency,4,3,1,3,2,45,0.235294,3.764706,2.764706,44.235294,0.235294,2.865359,0.090506,0.221369,1.000000,1.000000,0.237031
Compactness,Time Concurrency,4,3,1,3,2,45,0.235294,3.764706,2.764706,44.235294,0.235294,2.865359,0.090506,0.221369,1.000000,1.000000,0.237031
Provenance,Temporal Traceability,4,3,1,3,2,45,0.235294,3.764706,2.764706,44.235294,0.235294,2.865359,0.090506,0.221369,1.000000,1.000000,0.237031
Compliance,Logical Consistency,25,6,1,24,5,21,2.941176,22.058824,3.058824,22.941176,2.941176,2.848154,0.091479,0.190634,1.000000,1.000000,-0.236318
Compliance,Precision,25,8,6,19,2,24,3.921569,21.078431,4.078431,21.921569,3.921569,2.562773,0.109407,0.139996,1.000000,1.000000,0.224166
Appropriateness,Versatility,24,5,4,20,1,26,2.352941,21.647059,2.647059,24.352941,2.352941,2.414493,0.120217,0.174596,1.000000,1.000000,0.217584
Compactness,Semantic Accuracy,4,18,0,4,18,29,1.411765,2.588235,16.588235,30.411765,1.411765,2.367505,0.123885,0.283745,1.000000,1.000000,-0.215457
External Completeness,Versatility,15,5,0,15,5,31,1.470588,13.529412,3.529412,32.470588,1.470588,2.309783,0.128562,0.304711,1.000000,1.000000,-0.212814
Data Currency,External Completeness,3,15,2,1,13,35,0.882353,2.117647,14.117647,33.882353,0.882353,2.130903,0.144356,0.203361,1.000000,1.000000,0.204407
Compliance,Versatility,25,5,4,21,1,25,2.450980,22.549020,2.549020,23.450980,2.450980,2.129037,0.144532,0.190634,1.000000,1.000000,0.204318
Coherence,Logical Consistency,12,6,0,12,6,33,1.411765,10.588235,4.588235,34.411765,1.411765,2.092308,0.148042,0.314935,1.000000,1.000000,-0.202548
Compliance,External Completeness,25,15,5,20,10,16,7.352941,17.647059,7.647059,18.352941,7.352941,2.092308,0.148042,0.220316,1.000000,1.000000,-0.202548
Causal Traceability,Compliance,2,25,0,2,25,24,0.980392,1.019608,24.019608,24.980392,0.980392,2.001570,0.157136,0.490196,1.000000,1.000000,-0.198107
Compliance,Syntactic Accuracy,25,12,8,17,4,22,5.882353,19.117647,6.117647,19.882353,5.882353,1.955503,0.161995,0.199350,1.000000,1.000000,0.195814
External Completeness,Trustworthiness,15,8,4,11,4,32,2.352941,12.647059,5.647059,30.352941,2.352941,1.937209,0.163972,0.212792,1.000000,1.000000,0.194896
Data Update Currency,Semantic Accuracy,1,18,1,0,17,33,0.352941,0.647059,17.647059,32.352941,0.352941,1.870000,0.171475,0.352941,1.000000,1.000000,0.191485
Causal Traceability,Trustworthiness,2,8,1,1,7,42,0.313725,1.686275,7.686275,41.313725,0.313725,1.853198,0.173412,0.291765,1.000000,1.000000,0.190623
Internal Completeness,Precision,21,8,5,16,3,27,3.294118,17.705882,4.705882,25.294118,3.294118,1.781188,0.182004,0.248944,1.000000,1.000000,0.186883
External Accuracy,Precision,8,8,0,8,8,35,1.254902,6.745098,6.745098,36.254902,1.254902,1.765279,0.183967,0.327075,1.000000,1.000000,-0.186047
Precision,Trustworthiness,8,8,0,8,8,35,1.254902,6.745098,6.745098,36.254902,1.254902,1.765279,0.183967,0.327075,1.000000,1.000000,-0.186047
Availability,Semantic Accuracy,3,18,0,3,18,30,1.058824,1.941176,16.941176,31.058824,1.058824,1.738636,0.187312,0.543625,1.000000,1.000000,-0.184637
Semantic Accuracy,Temporal Traceability,18,3,0,18,3,30,1.058824,16.941176,1.941176,31.058824,1.058824,1.738636,0.187312,0.543625,1.000000,1.000000,-0.184637
Availability,Logical Consistency,3,6,1,2,5,43,0.352941,2.647059,5.647059,42.352941,0.352941,1.428472,0.232014,0.318607,1.000000,1.000000,0.167360
Logical Consistency,Temporal Traceability,6,3,1,5,2,43,0.352941,5.647059,2.647059,42.352941,0.352941,1.428472,0.232014,0.318607,1.000000,1.000000,0.167360
Data Currency,Semantic Accuracy,3,18,2,1,16,32,1.058824,1.941176,16.941176,31.058824,1.058824,1.373737,0.241171,0.281633,1.000000,1.000000,0.164122
Provenance,Syntactic Accuracy,4,12,0,4,12,35,0.941176,3.058824,11.058824,35.941176,0.941176,1.335516,0.247826,0.561152,1.000000,1.000000,-0.161823
External Completeness,Precision,15,8,1,14,7,29,2.352941,12.647059,5.647059,30.352941,2.352941,1.307122,0.252916,0.409436,1.000000,1.000000,-0.160093
Logical Consistency,Precision,6,8,0,6,8,37,0.941176,5.058824,7.058824,37.941176,0.941176,1.265116,0.260685,0.572403,1.000000,1.000000,-0.157500
Appropriateness,Internal Completeness,24,21,8,16,13,14,9.882353,14.117647,11.117647,15.882353,9.882353,1.151323,0.283272,0.394021,1.000000,1.000000,-0.150250
Appropriateness,Data Update Currency,24,1,1,23,0,27,0.470588,23.529412,0.529412,26.470588,0.470588,1.147500,0.284073,0.470588,1.000000,1.000000,0.150000
Causal Traceability,Semantic Accuracy,2,18,0,2,18,31,0.705882,1.294118,17.294118,31.705882,0.705882,1.135436,0.286619,0.534118,1.000000,1.000000,-0.149209
External Accuracy,Versatility,8,5,0,8,5,38,0.784314,7.215686,4.215686,38.784314,0.784314,1.031345,0.309843,0.579713,1.000000,1.000000,-0.142206
Trustworthiness,Versatility,8,5,0,8,5,38,0.784314,7.215686,4.215686,38.784314,0.784314,1.031345,0.309843,0.579713,1.000000,1.000000,-0.142206
Compactness,Compliance,4,25,1,3,24,23,1.960784,2.039216,23.039216,23.960784,1.960784,1.002054,0.316814,0.609844,1.000000,1.000000,-0.140172
Availability,Coherence,3,12,0,3,12,36,0.705882,2.294118,11.294118,36.705882,0.705882,0.980769,0.322009,1.000000,1.000000,1.000000,-0.138675
Coherence,Temporal Traceability,12,3,0,12,3,36,0.705882,11.294118,2.294118,36.705882,0.705882,0.980769,0.322009,1.000000,1.000000,1.000000,-0.138675
Compliance,Data Update Currency,25,1,0,25,1,25,0.490196,24.509804,0.509804,25.490196,0.490196,0.980769,0.322009,1.000000,1.000000,1.000000,-0.138675
Data Currency,Syntactic Accuracy,3,12,0,3,12,36,0.705882,2.294118,11.294118,36.705882,0.705882,0.980769,0.322009,1.000000,1.000000,1.000000,-0.138675
Syntactic Accuracy,Temporal Traceability,12,3,0,12,3,36,0.705882,11.294118,2.294118,36.705882,0.705882,0.980769,0.322009,1.000000,1.000000,1.000000,-0.138675
Syntactic Accuracy,Time Concurrency,12,3,0,12,3,36,0.705882,11.294118,2.294118,36.705882,0.705882,0.980769,0.322009,1.000000,1.000000,1.000000,-0.138675
Appropriateness,Precision,24,8,5,19,3,24,3.764706,20.235294,4.235294,22.764706,3.764706,0.908067,0.340628,0.450527,1.000000,1.000000,0.133436
Precision,Semantic Accuracy,8,18,4,4,14,29,2.823529,5.176471,15.176471,27.823529,2.823529,0.898520,0.343179,0.429734,1.000000,1.000000,0.132733
Compactness,External Completeness,4,15,2,2,13,34,1.176471,2.823529,13.823529,33.176471,1.176471,0.886170,0.346517,0.571429,1.000000,1.000000,0.131818
External Completeness,Provenance,15,4,2,13,2,34,1.176471,13.823529,2.823529,33.176471,1.176471,0.886170,0.346517,0.571429,1.000000,1.000000,0.131818
Availability,Internal Completeness,3,21,2,1,19,29,1.235294,1.764706,19.764706,28.235294,1.235294,0.855060,0.355125,0.561345,1.000000,1.000000,0.129483
